,O100,O99,O98,O97,O96,O95,O94,O93,O92,O91,O90,O89,O88,O87,O86,O85,O84,O83,O82,O81,O80,O79,O78,O77,O76,O75,O74,O73,O72,O71,O70,O69,O68,O67,O66,O65,O64,O63,O62,O61,O60,O59,O58,O57,O56,O55,O54,O53,O52,O51,O50,O49,O48,O47,O46,O45,O44,O43,O42,O41,O40,O39,O38,O37,O36,O35,O34,O33,O32,O31,O30,O29,O28,O27,O26,O25,O24,O23,O22,O21,O20,O19,O18,O17,O16,O15,O14,O13,O12,O11,O10,O9,O8,O7,O6,O5,O4,O3,O2,O1
Beehave 1,0.098136,0.33465,0.43582,0.53397,0.59845,0.58266,0.67469,0.71738,0.74041,0.73548,0.6958,0.70125,0.67239,0.67982,0.70879,0.68034,0.69414,0.66486,0.64208,0.60341,0.54659,0.53858,0.50125,0.52803,0.53221,0.55259,0.56528,0.56279,0.5557,0.58426,0.59439,0.61859,0.60761,0.61162,0.59183,0.59739,0.59117,0.56174,0.55382,0.57952,0.60713,0.59639,0.59038,0.59037,0.57819,0.59859,0.61475,0.60399,0.59537,0.59983,0.59587,0.59401,0.60875,0.60952,0.6191,0.61942,0.63004,0.61982,0.6187,0.61569,0.62654,0.62287,0.60742,0.61663,0.61447,0.59546,0.60214,0.59409,0.60274,0.60495,0.60302,0.60694,0.6021,0.59031,0.57363,0.5705,0.55941,0.52555,0.4896,0.47065,0.45738,0.42902,0.40352,0.39082,0.3744,0.36425,0.33131,0.31455,0.3171,0.30093,0.2861,0.28193,0.26714,0.2536,0.23526,0.2427,0.23572,0.21956,0.19025,0.15336
Beehave 2,0.41647,0.35921,0.31761,0.29975,0.28284,0.39016,0.59578,0.58008,0.63935,0.65741,0.62655,0.59859,0.59574,0.59948,0.60413,0.56752,0.56264,0.5632,0.55492,0.5419,0.54164,0.54955,0.55541,0.56204,0.549,0.55162,0.56504,0.57021,0.54657,0.53984,0.56211,0.56628,0.55643,0.55665,0.55032,0.57325,0.59379,0.57896,0.53817,0.5268,0.56826,0.56717,0.56698,0.56353,0.55412,0.56689,0.56576,0.58807,0.59548,0.60631,0.59341,0.58847,0.55482,0.57195,0.56153,0.57493,0.58049,0.60076,0.58977,0.59335,0.59191,0.58506,0.62628,0.6203,0.63077,0.61993,0.61617,0.61848,0.63341,0.63846,0.63659,0.64683,0.63639,0.65585,0.66699,0.66937,0.66814,0.65583,0.64644,0.63434,0.625,0.62159,0.63606,0.61404,0.5868,0.56723,0.53464,0.50896,0.49077,0.46766,0.43597,0.42133,0.41066,0.39774,0.37227,0.35481,0.34967,0.33013,0.30725,0.29503
Beehave 3,0.41123,0.50951,0.56196,0.51622,0.56787,0.55346,0.56647,0.6096,0.64352,0.62985,0.68462,0.6891,0.69992,0.66282,0.67886,0.64027,0.62351,0.62855,0.62328,0.6382,0.64243,0.68661,0.71091,0.68057,0.66661,0.71486,0.73242,0.7656,0.76316,0.76868,0.78282,0.77734,0.7405,0.70531,0.67417,0.64466,0.66709,0.67932,0.69087,0.69133,0.69101,0.6885,0.6732,0.6679,0.65955,0.6519,0.64322,0.63735,0.62119,0.6196,0.61903,0.60205,0.59751,0.58595,0.5926,0.60498,0.61168,0.62061,0.61694,0.61899,0.61975,0.63202,0.62663,0.62837,0.6186,0.61858,0.61842,0.61285,0.60743,0.58663,0.54062,0.50373,0.49655,0.48879,0.48214,0.47698,0.46127,0.44007,0.42721,0.421,0.4151,0.40636,0.42045,0.41635,0.38931,0.38203,0.38099,0.36442,0.3617,0.35672,0.35159,0.33407,0.31953,0.32573,0.32335,0.31598,0.3047,0.2807,0.25396,0
Beehave 4,0.85857,0.6657,0.53284,0.55353,0.53801,0.58512,0.58909,0.61271,0.60311,0.59708,0.5791,0.54792,0.5345,0.59721,0.56367,0.57961,0.56083,0.5958,0.5877,0.60713,0.62767,0.62242,0.63095,0.61828,0.59791,0.62267,0.61959,0.62991,0.63265,0.61449,0.62698,0.6062,0.609,0.60291,0.6071,0.60621,0.60695,0.60493,0.63883,0.64805,0.64947,0.64163,0.65375,0.67431,0.67284,0.66618,0.67731,0.68676,0.67577,0.68044,0.66508,0.65892,0.67156,0.63149,0.61734,0.63581,0.6269,0.62117,0.60733,0.60778,0.60927,0.61122,0.62547,0.60767,0.61014,0.59875,0.60313,0.59938,0.59033,0.58822,0.57789,0.56781,0.58742,0.60285,0.60535,0.59972,0.59438,0.58463,0.59434,0.60527,0.60082,0.61283,0.61968,0.62311,0.62953,0.58603,0.55708,0.53927,0.5013,0.47746,0.47297,0.46223,0.44619,0.43298,0.41312,0.40686,0.37013,0.35935,0.36248,0
Beehave 5,0.42348,0.49781,0.55238,0.54961,0.5456,0.59771,0.57818,0.56628,0.61554,0.59855,0.59097,0.53937,0.52269,0.56105,0.54825,0.5385,0.55348,0.55434,0.53378,0.55202,0.56119,0.57124,0.56994,0.58588,0.56201,0.55913,0.57514,0.61428,0.60837,0.62701,0.61917,0.62909,0.6553,0.66097,0.63912,0.65453,0.65738,0.66659,0.6605,0.66642,0.66488,0.6616,0.66173,0.67531,0.6898,0.705,0.7141,0.71174,0.70456,0.72365,0.71601,0.71098,0.70904,0.6941,0.69875,0.71299,0.71709,0.70463,0.68078,0.70116,0.7068,0.69264,0.69548,0.69011,0.68236,0.69277,0.69641,0.68486,0.70082,0.7031,0.71375,0.71997,0.70719,0.69219,0.65225,0.64285,0.6126,0.59974,0.57489,0.55659,0.5576,0.54632,0.54213,0.53673,0.54391,0.53836,0.51941,0.50086,0.46573,0.43922,0.42387,0.42074,0.42157,0.40942,0.40532,0.40605,0.41251,0.40276,0.38136,0.37596
Beehave 6,0.99995,0.86001,0.83009,0.88948,0.86483,0.86021,0.82268,0.77869,0.7651,0.78377,0.78206,0.79326,0.79647,0.76811,0.71845,0.68367,0.64966,0.63559,0.63109,0.63618,0.63911,0.60785,0.6181,0.62285,0.64479,0.6444,0.62717,0.63433,0.63407,0.63863,0.60697,0.63337,0.61242,0.61391,0.63262,0.59471,0.59405,0.58057,0.56143,0.55961,0.55696,0.54817,0.55788,0.58212,0.58455,0.59811,0.59494,0.59789,0.58775,0.58329,0.59534,0.59432,0.60068,0.60417,0.62875,0.62652,0.61347,0.62263,0.64107,0.62699,0.62251,0.61908,0.61409,0.61258,0.61305,0.61318,0.60804,0.6041,0.59436,0.56806,0.55431,0.52419,0.52119,0.49731,0.47869,0.48116,0.4565,0.43702,0.44574,0.43768,0.40341,0.39341,0.38357,0.37611,0.37015,0.34844,0.33534,0.31713,0.28182,0.27548,0.27064,0.26049,0.25152,0.19913,0.16447,0.14804,0.13378,0.11155,0.078377,0.086301
Beehave 7,0.27019,0.41773,0.53671,0.51016,0.55332,0.63522,0.68859,0.644,0.60579,0.59499,0.63831,0.50915,0.49472,0.4842,0.51606,0.51797,0.5442,0.53514,0.53267,0.52418,0.47869,0.45969,0.51912,0.53901,0.54309,0.53834,0.51724,0.47918,0.50838,0.49151,0.4939,0.51359,0.52776,0.51647,0.51728,0.53161,0.53135,0.52691,0.51055,0.52202,0.53731,0.54716,0.52307,0.54899,0.56006,0.54479,0.5397,0.55149,0.53718,0.51259,0.522,0.50601,0.51873,0.51153,0.5261,0.51415,0.51797,0.52007,0.53743,0.53911,0.53627,0.54362,0.53167,0.53388,0.54893,0.54684,0.55658,0.57346,0.56849,0.57183,0.5654,0.55817,0.56157,0.55135,0.54677,0.5409,0.53519,0.55086,0.55134,0.54207,0.54262,0.57031,0.5665,0.56133,0.56623,0.57175,0.56939,0.5719,0.55856,0.53423,0.47739,0.44725,0.43249,0.41089,0.38319,0.38471,0.36923,0.36048,0.3654,0.33933
Beehave 8,0.76252,0.45718,0.52911,0.52385,0.64556,0.71049,0.72452,0.68673,0.71016,0.70866,0.6093,0.55731,0.54235,0.55459,0.53784,0.53046,0.56401,0.5788,0.58028,0.54604,0.54391,0.55259,0.52103,0.51969,0.54615,0.5387,0.55098,0.57238,0.53284,0.52243,0.50206,0.51012,0.52193,0.53817,0.52019,0.52856,0.55288,0.54754,0.57115,0.56016,0.56106,0.58299,0.56421,0.56421,0.571,0.58876,0.57648,0.55111,0.58123,0.59179,0.58512,0.56991,0.5556,0.56486,0.53672,0.51172,0.51606,0.54006,0.54851,0.503,0.53186,0.53805,0.53796,0.52865,0.52586,0.50741,0.53832,0.54329,0.53443,0.55651,0.5417,0.56351,0.58758,0.577,0.57367,0.55683,0.55415,0.58041,0.59244,0.55879,0.55159,0.50776,0.48431,0.46305,0.46292,0.43532,0.43514,0.43281,0.42103,0.42838,0.41791,0.40487,0.37001,0.35999,0.35684,0.37032,0.36035,0.35082,0.34958,0.33751
Beehave 9,0.63917,0.7496,0.69738,0.64753,0.65202,0.71756,0.72933,0.67454,0.67308,0.6316,0.61211,0.62192,0.61467,0.5795,0.57689,0.56752,0.58749,0.61722,0.59672,0.57095,0.595,0.61608,0.60081,0.6087,0.57577,0.58305,0.59764,0.60358,0.60933,0.59113,0.58652,0.57291,0.54169,0.5716,0.56381,0.58831,0.5825,0.5978,0.60507,0.60869,0.59675,0.59318,0.58231,0.58148,0.62192,0.61862,0.6435,0.64561,0.64086,0.63117,0.63402,0.63804,0.66537,0.66333,0.66051,0.6324,0.63483,0.64197,0.64634,0.65049,0.65302,0.65777,0.65382,0.64971,0.63931,0.65138,0.65723,0.65147,0.64651,0.64814,0.65524,0.65785,0.6671,0.65375,0.63039,0.60844,0.58587,0.54134,0.53607,0.51813,0.50118,0.48451,0.44806,0.43347,0.40889,0.3783,0.358,0.34464,0.34003,0.33206,0.31902,0.30438,0.29178,0.27872,0.27332,0.26316,0.25326,0.25063,0.2416,0.21616
Bonanza 1,0.35654,0.33581,0.39736,0.42077,0.43384,0.52541,0.50018,0.50728,0.50154,0.5546,0.5512,0.54346,0.57092,0.53578,0.50071,0.49601,0.50331,0.51739,0.5146,0.54597,0.52719,0.55534,0.52674,0.52108,0.52473,0.52141,0.53943,0.53598,0.54384,0.53372,0.5476,0.50529,0.50482,0.53154,0.53643,0.52531,0.52722,0.50433,0.54043,0.55885,0.53784,0.51412,0.54228,0.53858,0.56395,0.57464,0.58404,0.59124,0.56952,0.57406,0.59739,0.59377,0.58818,0.59124,0.58997,0.59221,0.62733,0.6081,0.60127,0.60213,0.62216,0.63079,0.6444,0.63508,0.6461,0.65993,0.65956,0.66545,0.64932,0.65166,0.64982,0.64177,0.63873,0.64017,0.68513,0.6595,0.63263,0.64662,0.62811,0.61583,0.61696,0.60977,0.6123,0.59045,0.57379,0.55727,0.53814,0.53576,0.50112,0.463,0.43425,0.43166,0.38461,0.34714,0.29492,0.24824,0.23159,0.19872,0.16564,0.13564
Bonanza 2,0.7275,0.7975,0.73374,0.73298,0.71607,0.73652,0.74845,0.72264,0.69733,0.68637,0.66754,0.62826,0.66737,0.63865,0.63336,0.61192,0.60786,0.61909,0.63758,0.65903,0.63539,0.6427,0.61351,0.61071,0.61724,0.60432,0.5854,0.58604,0.58536,0.60716,0.59954,0.56841,0.57437,0.59267,0.61742,0.60851,0.60556,0.60585,0.60647,0.63481,0.6332,0.62731,0.61814,0.61313,0.6047,0.60628,0.61997,0.59229,0.60182,0.61325,0.61587,0.62621,0.59622,0.57416,0.57133,0.58393,0.56546,0.53292,0.51087,0.49523,0.48947,0.46747,0.45796,0.4387,0.43043,0.41002,0.38928,0.39673,0.39328,0.36483,0.34122,0.33659,0.33606,0.31038,0.31485,0.2987,0.29485,0.30207,0.29759,0.28102,0.27692,0.27535,0.28495,0.27336,0.26722,0.27319,0.28171,0.26971,0.26802,0.2761,0.26546,0.26057,0.24231,0.2239,0.19164,0.16993,0.15094,0.14275,0.12537,0.11593
Bonanza 3,0.34156,0.45796,0.51814,0.54015,0.54226,0.51548,0.5877,0.62607,0.58879,0.54741,0.52157,0.55257,0.56511,0.57203,0.56031,0.56468,0.55773,0.54907,0.56797,0.56265,0.5642,0.54559,0.54231,0.56991,0.55101,0.55372,0.57344,0.59374,0.60395,0.59284,0.61683,0.62222,0.61403,0.62167,0.58203,0.59249,0.59259,0.62237,0.6103,0.60762,0.61701,0.63924,0.64152,0.65871,0.70052,0.6911,0.68914,0.6871,0.68168,0.68345,0.67831,0.68104,0.70947,0.70259,0.6964,0.69104,0.68181,0.68113,0.6783,0.68756,0.69383,0.69545,0.69479,0.69351,0.71307,0.70194,0.66791,0.62362,0.6269,0.64033,0.61621,0.58723,0.56561,0.51075,0.49275,0.48502,0.47338,0.45254,0.44468,0.42655,0.41481,0.39489,0.37448,0.34336,0.32498,0.3132,0.2986,0.30104,0.29873,0.29009,0.28146,0.27237,0.25231,0.23087,0.19734,0.17304,0.1455,0.13272,0.11852,0.10188
Bonanza 4,0.7193,0.74194,0.69164,0.64861,0.64122,0.60085,0.6073,0.60575,0.62757,0.57351,0.49331,0.5278,0.51917,0.5267,0.57372,0.56702,0.58837,0.59576,0.59078,0.60322,0.61229,0.63143,0.64251,0.64927,0.62875,0.66582,0.69003,0.66779,0.67289,0.68826,0.68825,0.67867,0.65074,0.65793,0.64759,0.65967,0.66856,0.67752,0.68348,0.691,0.69612,0.66382,0.6637,0.67759,0.6692,0.68102,0.67477,0.67279,0.69693,0.69426,0.69651,0.68465,0.7094,0.70867,0.69641,0.6798,0.67997,0.68221,0.70015,0.69448,0.69691,0.70208,0.70471,0.69761,0.70058,0.68237,0.66959,0.71197,0.70868,0.71605,0.68718,0.67854,0.66119,0.68202,0.69027,0.72219,0.72395,0.73106,0.73385,0.71095,0.70073,0.68833,0.67952,0.67583,0.65178,0.63952,0.64214,0.62515,0.5852,0.5279,0.50522,0.4922,0.47629,0.40045,0.30776,0.22056,0.184,0.1509,0.12038,0.089269
Bonanza 5,0.77941,0.61945,0.61281,0.57366,0.62284,0.58252,0.53722,0.53238,0.56786,0.59372,0.57781,0.55439,0.52366,0.54002,0.55117,0.54788,0.51487,0.52157,0.55545,0.57004,0.56598,0.59029,0.61276,0.63843,0.64803,0.63164,0.6312,0.60703,0.60441,0.62421,0.57575,0.57939,0.58136,0.59041,0.62077,0.61907,0.60317,0.58496,0.58868,0.56738,0.56797,0.5657,0.57699,0.56201,0.56515,0.55034,0.55004,0.57063,0.57038,0.57669,0.59344,0.60799,0.59386,0.60177,0.601,0.57832,0.60988,0.63963,0.6382,0.63635,0.64089,0.63787,0.66012,0.66962,0.66614,0.65849,0.66219,0.64865,0.65976,0.65942,0.68601,0.68127,0.69491,0.66662,0.67186,0.68826,0.70449,0.69292,0.7029,0.71684,0.67448,0.67903,0.66941,0.61844,0.59467,0.59918,0.53973,0.52452,0.54301,0.50899,0.48124,0.44563,0.45317,0.43474,0.41897,0.37303,0.33573,0.30435,0.29044,0.27792
Bonanza 6,0.85564,0.82505,0.84395,0.86808,0.82018,0.76093,0.72495,0.72829,0.70628,0.67896,0.62025,0.63351,0.61501,0.60185,0.612,0.62761,0.61834,0.61996,0.60895,0.60604,0.62871,0.58901,0.58904,0.61666,0.60937,0.5778,0.56728,0.57699,0.58331,0.5818,0.56797,0.58901,0.58312,0.58363,0.56699,0.56069,0.57721,0.58793,0.58462,0.58984,0.57738,0.5743,0.58056,0.57017,0.5875,0.57475,0.59341,0.59251,0.58552,0.60764,0.61775,0.6088,0.57727,0.59599,0.61104,0.59806,0.60288,0.61676,0.60653,0.60288,0.61865,0.63606,0.63755,0.63525,0.62384,0.60846,0.58979,0.55741,0.53337,0.49757,0.46307,0.45146,0.46164,0.44841,0.44485,0.42723,0.41003,0.37692,0.35584,0.35605,0.36567,0.36568,0.35639,0.35727,0.33238,0.2774,0.23044,0.20696,0.16033,0.13784,0.12246,0.11425,0.11369,0.10615,0.096817,0.06477,0.059377,0.040748,0.035628,0.022879
Bonanza 7,0.50341,0.52649,0.46064,0.45335,0.43532,0.45893,0.50846,0.53323,0.48773,0.49658,0.53302,0.56948,0.52742,0.54538,0.57477,0.55871,0.56543,0.60746,0.5816,0.55114,0.56929,0.56076,0.58968,0.59826,0.59819,0.59173,0.61463,0.62654,0.61363,0.6263,0.63373,0.63177,0.63354,0.62593,0.62272,0.64753,0.63656,0.62715,0.62048,0.65338,0.62608,0.63173,0.63636,0.63621,0.62702,0.63482,0.61286,0.62173,0.6243,0.62063,0.62942,0.61819,0.6285,0.63931,0.63537,0.599,0.58183,0.59823,0.60481,0.60855,0.58974,0.58935,0.6024,0.60254,0.59771,0.57722,0.57252,0.54936,0.52374,0.50238,0.49347,0.46721,0.4586,0.44709,0.44736,0.45403,0.45244,0.46239,0.45706,0.44924,0.44443,0.43016,0.43366,0.42178,0.41961,0.40736,0.39773,0.39614,0.36205,0.34044,0.33491,0.32931,0.28687,0.25768,0.25388,0.23815,0.22389,0.21726,0.2264,0.23344
Bonanza 8,0.65451,0.28556,0.39138,0.46218,0.37438,0.411,0.44632,0.43479,0.41779,0.40097,0.37168,0.36444,0.38679,0.39299,0.35593,0.36044,0.39411,0.37435,0.33771,0.38762,0.37652,0.39787,0.37221,0.39283,0.39659,0.40748,0.39075,0.40507,0.43195,0.43461,0.44415,0.44044,0.45288,0.44814,0.45728,0.44467,0.47207,0.47135,0.50261,0.50425,0.50917,0.51771,0.52618,0.53026,0.52706,0.52668,0.53934,0.52021,0.50362,0.53059,0.51104,0.51669,0.52405,0.52173,0.5075,0.53554,0.52968,0.53857,0.55607,0.55133,0.5467,0.54432,0.55495,0.55426,0.56461,0.56003,0.5655,0.56521,0.57996,0.56901,0.57756,0.56083,0.56173,0.56628,0.57559,0.57807,0.59038,0.57845,0.58065,0.59054,0.59065,0.578,0.52851,0.4736,0.4605,0.43531,0.42047,0.40674,0.39855,0.37576,0.36158,0.35112,0.34519,0.332,0.32687,0.31764,0.31402,0.29306,0.28361,0.26843
Bonanza 9,0.95704,0.70509,0.49546,0.72136,0.77353,0.81334,0.78075,0.70892,0.72538,0.73141,0.76083,0.71754,0.73881,0.72778,0.67945,0.652,0.67628,0.68899,0.71942,0.72298,0.71638,0.71182,0.66788,0.67738,0.67013,0.63522,0.63711,0.63316,0.64408,0.61701,0.60482,0.58238,0.57159,0.58521,0.5966,0.60409,0.58507,0.59258,0.58016,0.61006,0.60912,0.60006,0.58479,0.61208,0.62286,0.60465,0.59465,0.61585,0.65315,0.64911,0.64017,0.64391,0.63135,0.64416,0.65027,0.66478,0.64601,0.63285,0.61919,0.62965,0.63099,0.63738,0.63167,0.62902,0.63652,0.64686,0.65894,0.66016,0.63783,0.6438,0.65207,0.64889,0.64866,0.6534,0.66428,0.6604,0.65817,0.66304,0.6606,0.6679,0.6405,0.59938,0.59197,0.58823,0.56875,0.55007,0.55562,0.54402,0.51945,0.49407,0.48248,0.48238,0.46508,0.45051,0.44862,0.41302,0.37962,0.36404,0.36019,0
Bull Gap 1,0.67619,0.77881,0.74596,0.7509,0.67107,0.67535,0.6665,0.58434,0.63362,0.6189,0.62874,0.65689,0.65314,0.64702,0.62254,0.60621,0.62358,0.6246,0.61763,0.63406,0.64271,0.65,0.60801,0.56563,0.58899,0.59794,0.58823,0.60404,0.6051,0.61429,0.6031,0.58782,0.58357,0.57946,0.58467,0.61448,0.58073,0.59636,0.57828,0.58554,0.59978,0.60866,0.59092,0.59497,0.592,0.60723,0.60662,0.59678,0.60862,0.60771,0.59815,0.604,0.58603,0.58966,0.60304,0.59444,0.60182,0.61633,0.62428,0.60073,0.58261,0.59611,0.60905,0.60545,0.60029,0.58617,0.59359,0.6036,0.61035,0.61421,0.61141,0.60774,0.61066,0.60172,0.61738,0.61196,0.61863,0.625,0.6024,0.60311,0.58117,0.58062,0.57563,0.58075,0.58075,0.57597,0.57137,0.56407,0.57385,0.58483,0.57995,0.58142,0.58032,0.57316,0.56704,0.56678,0.55205,0.53767,0.53727,0.54048
Bull Gap 2,1,0.87464,0.61232,0.65361,0.63936,0.62152,0.59713,0.54993,0.49807,0.43847,0.42379,0.46494,0.44029,0.47239,0.50582,0.52025,0.52046,0.52123,0.56272,0.58529,0.57333,0.5174,0.50309,0.50377,0.51085,0.53008,0.52976,0.52256,0.49927,0.47992,0.50411,0.49184,0.51237,0.50585,0.52159,0.49761,0.48494,0.48449,0.48357,0.53859,0.53778,0.52047,0.54023,0.51562,0.51037,0.5442,0.51838,0.52266,0.52768,0.52796,0.5573,0.55928,0.56942,0.56133,0.5454,0.54624,0.5565,0.54836,0.55365,0.56249,0.56617,0.55561,0.53994,0.53196,0.52632,0.52813,0.5306,0.49482,0.50298,0.48354,0.46608,0.4385,0.42513,0.39873,0.37227,0.37557,0.38806,0.37563,0.38386,0.38195,0.38381,0.37618,0.36274,0.34573,0.31893,0.32409,0.32394,0.28793,0.27963,0.28077,0.25131,0.22243,0.20666,0.20842,0.20328,0.1682,0.15331,0.12954,0.097908,0.077314
Bull Gap 3,0.7023,0.63677,0.55252,0.53899,0.59718,0.56991,0.56749,0.5913,0.55533,0.54844,0.49469,0.54811,0.53706,0.51294,0.5017,0.54923,0.54886,0.52032,0.51873,0.51677,0.51826,0.55148,0.56399,0.51448,0.53401,0.51253,0.50073,0.47299,0.47297,0.48691,0.4971,0.51661,0.50927,0.53169,0.5128,0.50124,0.50431,0.52633,0.51875,0.52074,0.51535,0.50505,0.51853,0.51112,0.51322,0.54606,0.53579,0.54464,0.5423,0.53797,0.53336,0.53444,0.53719,0.55999,0.55817,0.54287,0.53559,0.53645,0.56724,0.58022,0.57485,0.5929,0.5703,0.55373,0.56724,0.57035,0.57359,0.57729,0.56705,0.55314,0.54839,0.55168,0.53868,0.54864,0.53064,0.48996,0.49299,0.47958,0.48998,0.49985,0.47573,0.46756,0.45144,0.44718,0.45654,0.43185,0.42698,0.42888,0.42023,0.40565,0.40837,0.42269,0.39302,0.37319,0.36114,0.34424,0.32483,0.29953,0.29335,0.26637
Bull Gap 4,1,1,1,1,0.97526,0.86886,0.86062,0.8179,0.74691,0.6905,0.67102,0.64015,0.66062,0.62794,0.65134,0.63982,0.67492,0.67296,0.66278,0.66932,0.68612,0.65804,0.63022,0.63666,0.64982,0.60898,0.6169,0.61181,0.59355,0.59601,0.58731,0.58046,0.56892,0.58101,0.58166,0.56883,0.57798,0.57007,0.57184,0.55422,0.52886,0.54469,0.55113,0.5601,0.55949,0.5049,0.51902,0.51461,0.51794,0.51927,0.49543,0.49289,0.49828,0.48193,0.49225,0.49492,0.47938,0.48323,0.49647,0.49781,0.51122,0.5198,0.51919,0.52117,0.52207,0.52129,0.52614,0.55287,0.54485,0.54447,0.54508,0.54879,0.56263,0.54412,0.55952,0.52285,0.50204,0.48269,0.46573,0.44155,0.43207,0.42712,0.3902,0.35933,0.33878,0.34893,0.35062,0.35386,0.36175,0.36817,0.35518,0.32437,0.30707,0.28947,0.28214,0.25713,0.23468,0.22792,0.2229,0
Bull Gap 5,0.41587,0.44941,0.43019,0.63277,0.64688,0.62649,0.6396,0.69109,0.66103,0.63415,0.6194,0.61977,0.643,0.60952,0.62484,0.61702,0.58925,0.61721,0.62048,0.631,0.68152,0.67699,0.67803,0.65402,0.64975,0.62426,0.61258,0.62712,0.59565,0.58135,0.60222,0.59507,0.61142,0.6225,0.62675,0.61988,0.55958,0.56181,0.56002,0.55237,0.56284,0.54437,0.57757,0.54991,0.55765,0.56588,0.55892,0.55309,0.54505,0.5224,0.53452,0.52353,0.53281,0.54769,0.55844,0.56336,0.5609,0.51486,0.49019,0.45537,0.41817,0.42274,0.41023,0.36687,0.35303,0.34944,0.34481,0.33079,0.33204,0.34524,0.35308,0.33286,0.32125,0.32684,0.31296,0.30259,0.29886,0.2907,0.30584,0.30421,0.30161,0.30248,0.28939,0.28515,0.29068,0.27167,0.27182,0.27068,0.2493,0.24526,0.22871,0.2242,0.19971,0.17771,0.14074,0.12515,0.15751,0.17752,0.16546,0.14045
Bull Gap 6,0.82305,0.86151,0.77885,0.73432,0.76537,0.80424,0.76839,0.78877,0.73775,0.71859,0.72039,0.65754,0.64054,0.60441,0.60565,0.57614,0.55999,0.54176,0.54473,0.55608,0.54675,0.56028,0.57578,0.54068,0.55646,0.53665,0.52301,0.51941,0.54636,0.54735,0.5611,0.53033,0.5532,0.55298,0.552,0.57287,0.55864,0.55573,0.55893,0.55987,0.56076,0.55851,0.56749,0.5584,0.54107,0.54108,0.53529,0.55234,0.55826,0.53579,0.53707,0.52735,0.52734,0.55438,0.56077,0.55727,0.57539,0.57165,0.56519,0.56732,0.57842,0.57787,0.59604,0.61443,0.63238,0.63318,0.64278,0.62196,0.62564,0.59338,0.57298,0.55767,0.54151,0.51167,0.48343,0.46721,0.46058,0.45328,0.43827,0.42687,0.41898,0.39084,0.39144,0.39274,0.40002,0.38469,0.38047,0.37648,0.38416,0.38136,0.37495,0.36486,0.36695,0.3615,0.35798,0.34336,0.33267,0.33536,0.31806,0.29172
Bull Gap 7,1,1,1,1,1,1,0.99114,0.96556,0.85772,0.77422,0.78202,0.75248,0.73715,0.72695,0.71333,0.6825,0.66354,0.6371,0.5844,0.52983,0.52112,0.53141,0.52056,0.54006,0.55397,0.56594,0.56661,0.57448,0.5642,0.58002,0.5844,0.52837,0.54367,0.52482,0.53071,0.53535,0.52428,0.54489,0.56733,0.56736,0.52761,0.51136,0.52104,0.5422,0.55368,0.57932,0.58413,0.59455,0.60404,0.58998,0.58715,0.61782,0.63383,0.63065,0.61736,0.61677,0.62044,0.6111,0.61802,0.64191,0.64145,0.64106,0.65736,0.67665,0.69377,0.70091,0.70262,0.68581,0.69709,0.69737,0.66994,0.67298,0.67691,0.68145,0.65798,0.65637,0.66871,0.67014,0.64842,0.64393,0.62574,0.62599,0.6056,0.59833,0.60317,0.59656,0.59452,0.56947,0.54159,0.52049,0.51604,0.49286,0.4925,0.47348,0.46585,0.44875,0.4314,0.40504,0.38241,0
Bull Gap 8,1,1,1,1,1,0.99246,0.90664,0.74219,0.72514,0.73297,0.71286,0.73801,0.73397,0.70849,0.73756,0.78566,0.73965,0.70347,0.7407,0.74129,0.71697,0.70487,0.71839,0.76557,0.75107,0.7217,0.73354,0.74918,0.7507,0.74781,0.74951,0.74049,0.75525,0.7581,0.74489,0.73981,0.70307,0.70763,0.71534,0.70505,0.69692,0.7105,0.70624,0.69596,0.69581,0.68727,0.69392,0.68819,0.67988,0.65561,0.63168,0.63057,0.62809,0.61637,0.62845,0.60165,0.5883,0.57597,0.56389,0.55719,0.58272,0.58233,0.57427,0.53997,0.54411,0.54579,0.55175,0.54478,0.53523,0.53799,0.53769,0.52849,0.52145,0.52526,0.51407,0.5042,0.50904,0.50815,0.50292,0.49034,0.53454,0.53193,0.52724,0.51899,0.5203,0.52787,0.51873,0.54083,0.52418,0.53503,0.54105,0.52326,0.49192,0.50235,0.48005,0.42897,0.37536,0.33635,0.32178,0
Bull Gap 9,0.99174,0.81178,0.68963,0.55059,0.44766,0.48241,0.54899,0.52475,0.54952,0.55396,0.58148,0.6022,0.60497,0.55689,0.55766,0.55155,0.53857,0.55955,0.56713,0.5333,0.51039,0.52506,0.52178,0.51562,0.53936,0.50312,0.4977,0.51287,0.52533,0.54991,0.52899,0.52358,0.54906,0.56018,0.51381,0.49891,0.49049,0.49833,0.52346,0.53927,0.5454,0.547,0.54705,0.52952,0.54528,0.5138,0.51661,0.51829,0.52619,0.52111,0.52177,0.51549,0.53072,0.53309,0.52254,0.50314,0.5154,0.546,0.53275,0.52441,0.51676,0.52347,0.51728,0.49371,0.47862,0.44952,0.43517,0.42901,0.41288,0.38249,0.35509,0.32797,0.31787,0.2946,0.29951,0.28189,0.27016,0.23895,0.26121,0.26087,0.26378,0.26178,0.25522,0.23217,0.22875,0.2269,0.22668,0.23937,0.22387,0.20307,0.18495,0.16949,0.13335,0.11607,0.10442,0.085138,0.016803,0.0091441,0.0060754,0.001727
