"","D47","D46","D45","D44","D43","D42","D41","D40","D39","D38"
"Schooner Creek 7",9.1085,9.7296,10.729,10.2,10.518,10.647,11.024,11.486,11.609,10.875
"Schooner Creek 8",17.514,17.494,17.491,17.727,17.949,17.794,17.993,18.671,19.098,19.792
"Schooner Creek 9",15.617,15.634,15.488,15.523,16.1,16.057,15.453,15.166,15.595,15.28
"Three Horn 1",7.4374,7.3639,7.2641,7.3325,7.6114,7.198,7.1297,7.2934,7.2896,7.5707
"Three Horn 2",5.8437,5.9258,5.77,5.6824,5.6553,5.4306,5.3004,5.6277,5.8237,6.0615
"Three Horn 3",10.735,10.972,11.507,11.36,11.354,11.243,10.861,10.691,10.909,10.127
"Three Horn 4",7.2836,7.4907,7.1848,6.3569,5.97,6.3861,5.4756,5.5892,5.4871,5.0753
"Three Horn 5",14.282,14.253,13.666,14.295,16.793,16.91,16.764,16.514,14.406,14.241
"Three Horn 6",5.6293,5.3899,5.283,5.1583,5.2372,5.3286,5.4364,5.6167,5.6197,5.852
"Three Horn 7",5.8191,5.7689,5.798,5.9782,5.8283,5.7511,5.4679,5.3687,5.4217,4.8811
"Three Horn 8",11.711,11.574,11.344,10.802,11.04,11.402,12.014,11.83,12.16,12.808
"Three Horn 9",10.743,11.193,11.049,10.521,10.193,10.475,10.67,11.047,12.171,12.638
"Trail Creek 1",13.658,13.676,13.038,13.391,12.395,11.697,11.267,11.004,10.477,10.261
"Trail Creek 2",4.1306,4.4442,4.6444,4.8078,4.7874,4.9558,4.9293,4.9617,4.7463,4.3484
"Trail Creek 3",20.05,20.269,20.039,20.467,19.719,19.6,19.007,18.112,18.482,19.398
"Trail Creek 4",13.184,12.698,12.637,12.641,12.906,12.776,12.79,12.708,13.112,13.156
"Trail Creek 5",4.6962,4.9456,4.8435,4.9749,5.1944,4.889,5.087,4.8517,4.864,4.6492
"Trail Creek 6",16.833,15.744,15.461,15.42,15.427,15.181,15.504,16.589,17.056,16.996
"Trail Creek 7",13.338,12.608,12.512,12.262,12.292,12.56,12.728,13.296,13.91,14.68
"Trail Creek 8",5.6644,5.0813,4.8371,4.5805,4.767,5.0013,4.5834,4.6822,4.4424,4.1695
"Trail Creek 9",4.1866,4.1784,4.0274,3.9496,3.9913,4.0237,3.6265,3.2868,3.1043,3.3637
"Wildcat 1",9.9652,10.48,10.009,9.7311,8.9841,8.5894,8.6261,8.9018,8.7877,8.4229
"Wildcat 2",21.288,21.122,20.06,20.445,21.679,21.776,20.772,20.581,21.005,21.018
"Wildcat 3",10.144,10.396,10.824,10.514,11.153,10.946,10.469,10.424,10.663,11.301
"Wildcat 4",16.4,14.527,14.646,15.643,16.388,16.436,16.937,16.657,15.629,15.725
"Wildcat 5",13.017,12.937,13.448,13.826,13.932,14.747,15.184,14.451,14.127,13.923
"Wildcat 6",22.985,22.963,22.887,22.734,22.775,22.205,21.98,22.951,22.583,21.238
"Wildcat 7",17.817,18.557,17.952,18.718,18.351,17.581,17.347,16.009,15.414,16.128
"Wildcat 8",17.154,16.999,16.665,16.493,14.874,14.109,14.328,14.409,12.635,10.979
"Wildcat 9",22.417,22.567,22.548,23.014,23.093,22.905,23.196,23.09,23.187,23.583
