,OPC1,GLSA,GLSA.RANK,NECI,NECI.RANK,NEFU,NEFU.RANK,FOREST,names,OMDS2,DMDS1,OMDS1,,,,,,,
Ferngully 2,1.216374317,26,VHIGH,6,HIGH,0,NONE,ASHLAND,Ferngully,0.029852133,-0.131991486,-0.012362312,,,,,,,
Ferngully 3,-0.543255038,26,VHIGH,6,HIGH,0,NONE,ASHLAND,Ferngully,-0.024870063,0.150717183,-0.054222015,,,,,,,
Ferngully 4,6.423229561,26,VHIGH,6,HIGH,0,NONE,ASHLAND,Ferngully,0.208136731,-0.174763243,0.22362966,,,,,,,
Ferngully 5,4.172724997,26,VHIGH,6,HIGH,0,NONE,ASHLAND,Ferngully,0.128235909,-0.691010744,0.13024113,,,,,,,
Ferngully 6,13.65253097,26,VHIGH,6,HIGH,0,NONE,ASHLAND,Ferngully,0.529240705,-0.260669788,0.49011662,,,,,,,
Ferngully 7,6.779089817,26,VHIGH,6,HIGH,0,NONE,ASHLAND,Ferngully,0.221905762,0.669032022,0.208991703,,,,,,,
Ferngully 8,-0.128424769,26,VHIGH,6,HIGH,0,NONE,ASHLAND,Ferngully,-0.010287987,-0.713174663,0.146534864,,,,,,,
Ferngully 9,2.662259899,26,VHIGH,6,HIGH,0,NONE,ASHLAND,Ferngully,0.076004664,-0.193495274,0.066599696,,,,,,,
Potnu 1,3.375804506,23,VHIGH,8,HIGH,0,NONE,ASHLAND,Potnu,0.099071405,-0.871918888,0.11117724,,,,,,,
Potnu 2,0.314091446,23,VHIGH,8,HIGH,0,NONE,ASHLAND,Potnu,0.00159401,-0.518851142,0.027313848,,,,,,,
Potnu 3,-6.551673188,23,VHIGH,8,HIGH,0,NONE,ASHLAND,Potnu,-0.187620373,0.292489638,-0.189064899,,,,,,,
Potnu 4,5.266293737,23,VHIGH,8,HIGH,0,NONE,ASHLAND,Potnu,0.164023707,-0.433403585,0.19236764,,,,,,,
Potnu 5,-0.054695503,23,VHIGH,8,HIGH,0,NONE,ASHLAND,Potnu,-0.009180337,0.410276916,0.018425972,,,,,,,
Potnu 6,1.002685807,23,VHIGH,8,HIGH,0,NONE,ASHLAND,Potnu,0.022976316,-0.730065733,0.030714445,,,,,,,
Potnu 7,0.508359068,23,VHIGH,8,HIGH,0,NONE,ASHLAND,Potnu,0.007398783,-0.491160346,0.016876404,,,,,,,
Potnu 8,0.031546735,23,VHIGH,8,HIGH,0,NONE,ASHLAND,Potnu,-0.008500458,-0.167784778,0.060101471,,,,,,,
Potnu 9,3.928482343,23,VHIGH,8,HIGH,0,NONE,ASHLAND,Potnu,0.118384966,-0.393359604,0.040342695,,,,,,,
Savage Bluffs 1,-4.840819462,16.66666667,HIGH,2.7,MID,0.7,LOW,TILLER,Savage,-0.144718729,-0.538630235,-0.108307965,,,,,,,
Savage Bluffs 2,3.772373119,16.66666667,HIGH,2.7,MID,0.7,LOW,TILLER,Savage,0.111625025,-0.717604982,0.245853319,,,,,,,
Savage Bluffs 3,1.430262216,16.66666667,HIGH,2.7,MID,0.7,LOW,TILLER,Savage,0.035739845,-0.694511991,0.120384691,,,,,,,
Savage Bluffs 4,1.303767284,16.66666667,HIGH,2.7,MID,0.7,LOW,TILLER,Savage,0.030774637,-0.711323582,0.092675198,,,,,,,
